r,m,n_eq
9,2,3
27,2,3
27,0,3
3,1,2
1,3,4
189,0,4
63,4,4
3,4,4
1323,2,6
27,4,6
567,1,5
27,0,3
9,0,3
243,4,4
1,0,1
1701,3,5
441,1,4
27,3,5
9,0,2
1,0,2
27,1,4
441,2,5
3,1,4
189,4,5
729,0,4
9,0,3
3,3,3
81,3,4
27,4,5
81,0,3
189,1,4
81,1,2
7,0,4
1,0,2
15309,2,6
9,1,1
2083725,4,6
9,3,2
189,1,6
441,4,6
7,4,4
81,0,3
1607445,6,7
81,3,3
1701,2,6
7,2,3
243,1,5
9,0,5
567,4,5
64827,5,5
9,2,2
1,1,2
1701,3,6
35721,4,5
81,2,2
3,0,2
9,3,3
81,2,4
729,0,3
7,3,3
81,2,5
81,2,3
9,4,3
243,2,5
21,0,4
15309,2,6
9,4,3
9,1,2
1,1,3
9,2,3
9,1,2
27,0,3
231525,7,6
9,0,3
27,0,3
15309,3,6
9,1,5
81,0,4
63,3,5
243,2,5
9,2,3
9,0,1
567,2,3
3,2,1
9,1,1
27,2,3
1701,4,4
567,1,4
3,1,2
9,3,3
9,1,5
243,5,6
1,0,2
63,1,5
1701,0,4
81,3,2
3,1,2
1,1,1
567,2,5
76545,4,6
27,0,3
9,1,2
231525,6,6
15309,3,6
567,4,3
1,3,3
27,2,4
750141,4,6
189,2,5
81,1,3
1,0,3
1701,5,6
3,0,1
27,3,4
9,3,3
243,3,4
3,0,2
9,0,2
441,3,5
81,0,4
189,4,5
3,1,2
9,1,1
81,1,2
1,0,0
243,2,6
3,0,1
3,1,5
9,2,2
81,2,4
1701,3,4
6561,0,4
9,1,4
3,2,2
1,0,1
9,1,3
27,2,3
1,0,0
9,2,4
1,0,2
3,0,1
27,2,3
194481,4,5
9,0,2
1701,4,5
1,0,1
3,0,1
107163,4,7
9,0,3
9,0,3
7203,3,4
3,1,2
81,0,4
9,2,3
9,1,2
3,1,1
81,3,5
3,1,1
1701,3,6
147,3,4
81,0,4
9,2,4
3,0,3
9,2,3
27,1,4
9,1,4
9,0,4
2835,3,4
3,1,2
9,1,2
189,2,3
9,1,4
567,2,2
9,0,1
9,2,3
21,2,5
81,2,4
567,2,4
7,3,4
567,3,4
1701,3,6
189,3,3
27,0,5
9,0,4
81,2,4
9,1,1
243,4,6
81,6,6
3,2,3
1701,1,5
9,2,2
567,1,3
63,4,4
9,1,2
7,1,2
1,1,1
5103,1,4
15309,3,5
27,2,3
3,5,4
9,0,3
15309,2,5
63,4,4
27,1,3
243,0,4
1,2,2
9,2,4
1701,0,4
27,0,2
63,1,5
567,2,5
9,0,2
3,1,4
189,1,5
49,2,5
45927,1,5
9,2,2
9,1,4
1701,2,4
9,3,2
81,5,3
3969,7,7
147,4,4
11907,3,6
729,2,6
194481,6,5
2835,2,4
1,0,3
567,3,5
21,1,3
189,1,3
81,0,2
9,1,5
27,0,1
567,3,5
81,4,3
194481,4,6
3,1,2
81,3,4
27,1,4
3,1,2
1323,5,4
189,1,3
81,2,4
1,2,1
81,2,3
9,2,2
27,4,4
81,2,4
729,2,5
1701,1,5
3,1,3
5103,5,5
5103,3,3
3,0,3
81,1,3
1,0,2
9,0,4
63,3,4
81,2,5
5103,2,6
27,2,3
27,0,4
194481,4,5
45927,2,5
81,3,5
27,0,2
27,1,3
945,5,7
27,2,3
1,1,1
21,4,4
27,5,4
243,1,4
729,1,3
81,4,3
27,2,4
7,0,3
27,0,4
1,0,2
9,0,3
1701,4,7
27,2,3
441,2,4
3,3,2
1,1,2
9,2,3
3,3,2
9,1,2
441,1,5
1,0,1
81,0,4
9,0,3
49,4,3
964467,3,5
137781,3,7
729,2,3
147,1,4
1,0,0
7,1,3
1,0,2
9,3,3
1,1,2
567,2,3
3,2,1
1,2,2
27,6,5
1,0,2
1,2,2
3,0,2
9,3,3
1,0,1
81,3,4
81,2,5
27,0,1
81,1,4
567,2,2
1361367,4,6
81,0,4
9,3,4
1,0,1
1701,2,5
243,5,5
27,0,4
567,1,3
81,2,3
81,0,4
9,2,3
138915,5,7
9,1,4
441,4,5
81,4,4
27,0,3
3,1,4
243,2,4
729,2,5
27,0,3
81,1,4
35721,2,7
567,4,6
27,0,3
27,3,4
81,1,2
81,2,4
21,2,4
3,0,2
9,0,1
243,3,4
27,1,4
567,2,2
27,3,4
27,1,2
1701,4,7
9,1,2
81,0,2
9,2,2
3,0,3
189,3,3
9,2,3
9,2,3
3,0,2
1701,3,5
7,2,3
27,0,3
243,0,4
81,5,4
9,1,2
81,2,4
9,3,2
5103,2,6
27,3,3
81,1,2
27,0,2
315,5,7
9,4,5
27,0,3
63,2,4
5103,5,7
567,2,4
147,1,5
3,0,3
3,0,2
27,1,3
1,1,2
1,1,3
27,0,2
9,2,1
27,0,4
3,1,2
81,1,4
15309,2,7
81,1,2
9,2,5
9,0,2
27,1,3
21,2,3
9,0,3
567,1,2
3,1,2
7,0,3
27,2,3
81,2,3
1,0,2
9,0,3
1,0,2
27,0,2
27,1,3
7,1,4
21,2,4
27,3,4
9,0,2
9,0,3
7,2,3
81,1,3
27,4,3
729,0,4
27,2,4
3,1,2
81,6,6
1,1,1
243,1,5
81,1,4
189,2,5
229635,4,5
81,1,4
9,0,1
9,2,1
45,4,6
81,1,2
3,0,2
250047,8,6
3,1,3
81,6,5
21,2,4
3,1,2
1,0,1
729,0,5
27,0,3
3,1,3
5103,3,5
9,3,2
9,1,3
1,2,2
9,1,2
9,0,2
9,4,3
729,0,3
5103,2,5
1,0,1
1,0,2
81,2,3
63,3,4
5103,4,4
567,3,4
27,1,4
81,2,3
81,6,4
3,0,3
7,4,3
3,0,2
3,1,2
9,2,3
9,0,2
1701,1,4
243,0,3
81,1,3
2187,1,5
1,1,2
3,0,4
7,4,5
9,2,2
63,6,4
81,2,3
1,0,1
567,4,5
135,5,6
9,0,2
567,1,3
189,3,5
1,0,0
243,1,3
189,3,5
3,0,3
9,2,3
2187,2,5
49,3,4
5103,2,5
9,3,3
189,2,2
9,3,3
1701,1,4
81,5,5
243,1,5
189,0,4
9,0,2
27,2,4
243,2,4
243,0,4
2187,0,4
45927,2,4
243,3,3
9,0,2
2187,2,5
27,0,3
27,0,4
189,3,4
27,0,4
1701,3,3
81,0,4
27,1,3
3,1,2
243,2,4
63,3,3
63,3,4
3,0,2
1,0,0
189,0,3
27,2,2
27,4,4
27,3,4
1,1,2
81,2,3
27,2,4
21,3,5
3,0,3
1701,2,3
81,0,4
3,2,2
5103,2,5
1,1,3
189,3,4
3,0,1
27,1,4
3,1,4
7,2,3
3,1,2
9,1,3
9,1,3
3,2,3
243,2,4
81,1,6
63,4,5
27,1,4
7,3,3
63,2,4
9,0,4
189,4,5
243,2,3
2187,3,4
1,0,4
81,0,3
27,0,3
5103,1,4
3969,0,6
9,2,3
9,0,1
231525,6,6
243,3,5
63,1,3
27,0,2
9,1,4
3,2,2
1,3,3
729,0,2
9,3,3
9,3,5
27,3,3
81,3,5
729,2,5
3,0,2
1,2,2
243,0,3
81,0,5
81,2,5
1701,2,3
9,1,2
3,2,2
189,4,3
5103,3,5
9,1,3
9,7,4
1,0,2
3,0,1
3,0,2
27,4,4
9,1,2
1,0,2
27,0,4
1,0,0
27,2,3
1,0,1
45927,3,7
81,1,3
9261,1,4
243,1,5
45927,2,6
9,0,3
27,0,3
81,1,4
9,1,2
21,0,3
81,2,4
3,2,4
81,4,4
27,0,2
243,1,3
243,0,4
49,0,3
3,1,4
9,2,3
243,1,5
27,3,4
27,3,3
9,1,3
189,3,6
63,2,4
9,3,3
5103,3,5
9,1,3
9,2,2
9,1,3
27,0,3
1,2,2
27,1,2
9,2,3
3,2,3
9,0,2
567,4,4
45,4,6
3,2,3
567,2,4
729,1,6
1701,5,6
3,1,2
9,1,2
27,1,2
9,2,3
27,1,3
27,5,5
243,3,4
9,1,1
81,2,5
27,2,2
567,1,5
3,2,3
9,0,2
3,2,3
27,2,3
9,3,3
9,1,2
5103,4,3
1,2,2
1,1,2
243,2,4
27,2,4
3,1,2
9,2,3
243,0,3
27,3,5
27,2,3
81,3,5
27,2,3
3,2,4
1323,3,6
11907,4,7
1,1,2
9,2,3
9,0,2
15309,1,6
9,0,1
81,3,5
189,3,3
1323,2,5
3,0,1
21,3,4
189,2,4
243,5,4
81,1,3
3,0,2
27,2,2
1,0,0
63,1,4
9,1,1
9,0,3
81,1,2
7,2,2
27,2,6
189,1,3
243,3,4
567,2,4
9,0,4
3,0,1
194481,5,7
3,3,3
243,0,5
27,3,4
3,0,2
945,2,6
1,1,2
81,1,3
1,0,2
81,0,2
3,0,1
9,1,1
9,3,4
3,1,3
63,8,5
81,1,4
81,2,3
9,2,2
441,2,5
1701,4,5
135,1,5
27,3,5
1701,3,4
9,1,2
189,3,4
1,0,0
81,2,3
27,0,4
63,3,6
8505,2,4
27,1,3
81,2,3
5103,1,4
3,1,2
1,0,2
9,1,2
9,0,1
189,3,6
9,4,4
63,1,4
189,3,5
27,0,3
3,1,3
9,3,3
243,3,5
9,2,4
27,2,2
9,0,3
21,1,3
27,3,4
189,4,4
1,0,1
3,3,2
27,3,4
3,1,1
567,1,3
81,1,3
81,1,2
1,1,1
3,3,4
63,1,4
81,4,4
1,0,2
1,0,0
81,1,2
147,1,5
5103,2,4
1,0,2
28588707,6,8
27,1,3
5103,2,7
9,0,4
27,0,4
9,1,3
1,0,1
1,0,2
1,0,1
3,0,2
27,0,3
27,0,3
567,4,5
567,3,3
1,1,2
7203,5,4
81,2,4
9,2,2
81,2,3
243,2,5
9,1,3
27,5,4
27,3,4
3,2,2
3,1,2
9,0,1
9,2,4
81,0,4
63,4,4
1701,3,4
1,2,3
321489,3,5
1701,1,6
9,2,2
81,0,2
49,0,4
2835,1,6
1,1,2
3,3,3
441,0,4
7,4,5
81,0,4
1701,5,6
9,0,3
1701,1,4
27,0,4
27,1,5
9,0,1
1,2,2
9,1,4
137781,1,5
107163,4,5
3,2,4
1701,2,4
81,1,3
63,2,3
3,3,2
567,1,6
1323,2,5
3,1,1
1,1,2
27,2,3
81,0,4
9,1,2
1701,3,4
3,0,3
9,2,2
9,0,2
729,0,4
27,1,3
63,2,6
9,2,2
35721,3,6
189,2,4
3,1,3
9,0,1
27,2,4
9,1,1
243,0,4
1,1,1
27,0,2
42525,8,8
3969,7,6
189,2,4
3,1,2
9,0,2
63,3,5
9,3,3
1,0,2
81,3,3
27,2,3
5103,2,4
27,2,2
189,2,3
1,0,2
81,5,4
3,4,3
3,0,2
9,2,3
1,1,3
21,1,3
1,0,2
9,3,4
1701,2,4
60761421,3,8
243,2,4
3,2,2
81,2,4
9,1,1
27,0,4
81,2,3
1361367,9,6
1,1,1
25515,1,4
9,2,2
63,4,5
9,0,1
9,4,3
9,2,3
9,1,2
1,4,5
3,2,3
27,4,4
1,0,1
243,2,5
9,1,3
1,2,2
3,0,3
567,3,4
1,1,2
9,2,3
9,1,2
3,4,3
27,1,4
21,0,3
81,4,4
81,1,4
3,1,1
243,1,4
9,0,3
21,3,3
63,1,3
1,0,1
9,1,1
243,1,4
43758225,9,8
1,1,3
189,4,6
27,0,3
9,2,2
1,0,2
27,2,3
1,0,0
9,2,3
3,3,2
