r,m,n_eq
243,6,5
189,2,3
81,3,5
3,4,4
15,2,3
27,5,5
9,1,2
567,1,4
81,1,2
21,2,2
9,2,3
27,5,5
76545,1,7
27,0,3
9,1,2
1,0,1
81,1,3
1,0,2
27,1,2
1,0,2
63,1,5
9,1,3
27,1,4
189,1,4
27,0,3
3,1,3
567,3,4
567,1,4
9,1,2
243,1,4
3,0,1
15309,2,4
9,0,2
3,1,2
3,0,2
3,2,4
81,0,3
9,1,2
81,1,4
64827,3,4
321489,3,6
45927,2,4
9,0,2
9,0,3
3,1,2
3,0,2
2083725,7,6
9,0,2
81,2,4
243,2,5
27,2,4
3,1,3
81,4,4
9,1,3
7203,4,7
405,2,7
3,1,3
7,1,3
1,0,1
194481,4,7
729,0,4
9,1,4
1,1,2
81,0,3
27,0,3
3,0,2
729,1,3
729,2,6
27,1,5
64827,4,6
3,2,3
81,0,4
3,1,2
25515,4,6
189,2,5
27,0,3
81,3,4
1,1,2
27,1,4
243,0,3
81,2,4
567,2,3
1,2,2
63,3,5
3,3,2
243,4,4
81,2,3
9,2,3
729,5,5
189,4,6
9,3,3
27,2,3
567,6,5
27,2,3
9,3,5
3,2,3
7,3,3
27,0,2
81,2,4
81,2,4
243,3,5
9,2,2
27,1,3
5103,3,6
2187,2,5
9,4,5
3,1,2
1,2,2
1701,5,4
3,0,2
3,1,4
9,2,3
27,6,4
3,1,1
15309,2,6
81,1,5
81,0,4
9,0,2
27,0,2
81,0,4
27,0,2
9,0,2
3,1,2
9,0,1
9,1,3
5103,3,3
3,3,3
81,0,3
27,2,2
3,1,2
77175,3,4
27,1,4
27,0,3
9,0,1
81,1,5
27,1,2
243,3,5
189,2,5
63,2,4
27,2,3
9,3,4
27,2,5
81,1,2
27,1,5
63,3,4
15309,4,5
81,3,3
27,1,2
9,0,4
63,4,3
9,4,3
9,0,2
27,1,4
27,1,4
1,0,2
9,0,1
1323,4,5
81,1,3
189,3,5
81,2,4
189,2,4
9,0,2
9,0,2
729,2,5
441,3,6
441,0,3
9,4,3
729,1,4
321489,3,5
27,2,2
81,2,4
81,2,3
9,2,3
5103,3,5
63,3,4
27,1,2
1701,2,3
27,3,5
135,4,6
9,2,3
1,0,3
81,2,3
21,2,3
9,0,4
9,1,4
5103,5,5
27,0,4
9,2,2
3,1,2
5103,3,3
3,2,4
1,3,2
81,1,3
3,1,3
3,0,1
81,3,5
1,0,0
15309,1,3
9,0,2
27,0,2
1,0,2
3,1,5
729,2,5
81,5,4
27,1,3
9,4,4
27,1,4
1,0,0
729,2,5
567,2,3
135,5,5
81,1,2
729,1,5
63,3,5
27,1,5
27,2,3
567,0,3
27,0,3
1701,6,5
81,1,4
81,2,2
1,0,2
1,0,2
1701,3,4
964467,6,8
567,1,4
1701,1,4
729,2,4
49,2,6
6561,0,4
81,3,4
27,3,5
27,0,3
3,1,1
27,2,4
5103,3,5
81,0,3
3,2,4
81,1,3
7,0,3
27,0,3
3,0,2
3,0,1
9,3,3
567,4,4
63,5,4
5103,1,5
189,2,3
27,1,4
9,0,2
81,1,4
9,3,3
63,2,3
243,4,5
189,3,4
243,0,4
27,4,2
7,1,3
9,2,3
9,2,3
81,5,5
567,1,3
3,0,3
81,0,3
27,1,2
583443,4,5
567,1,3
1,3,4
243,0,3
3087,4,6
729,1,4
3,1,2
81,3,5
567,1,3
567,1,5
1701,5,5
11907,4,5
1701,6,5
729,0,4
1,2,3
27,2,3
567,1,5
81,2,4
5103,2,5
1,0,0
5103,3,5
3,1,2
9,0,2
9,1,2
5103,3,7
27,2,3
27,3,4
27,0,3
9,0,2
107163,6,6
81,4,3
81,3,2
729,3,5
81,3,5
27,3,4
5103,3,6
3,4,2
441,4,5
1,1,3
9,0,2
81,0,4
27,2,3
9,1,2
3,1,3
15309,4,5
194481,4,8
1,1,2
189,4,6
729,5,6
2083725,6,6
1,1,2
567,1,4
81,3,6
27,6,3
1,0,1
81,2,4
63,1,3
189,2,3
9,0,3
3,0,2
3,0,4
7,0,4
243,3,5
243,0,3
9,2,4
729,1,5
9,2,4
21,2,4
729,3,5
27,2,3
3,0,1
9,3,4
27,5,5
15309,4,5
21,1,4
27,2,3
567,3,3
9,2,3
9,0,2
27,0,4
3,1,3
35721,4,5
27,1,4
9,2,3
189,2,3
9,1,5
9,0,2
63,5,6
413343,1,6
81,4,3
9,1,2
441,2,5
